Year,Site,Database_Name,OID_,Latitude,Longitude,County,Park_Size_Ha,AA_N,HL_N,IS_N,Total_N,M_Dragged,Tested,DIN_Bburg,DIN_Babesia,DIN_Ap,Occu_Predicted_ModelAverage,Occu_Predicted_Connectivity,Connect300v1_ParkBuffer1000,HU_Density_Km_Park1000,HU_Density_Km_Park500,HU_Density_Km_Park100,PCT_TCC_PARK_BUFFER1000,PCT_TCC_PARK_BUFFER500,PCT_TCC_PARK_BUFFER100,Prop_Water_ParkBuffer1000,Prop_Water_ParkBuffer500,Prop_Water_ParkBuffer100,Prop_BarrenLand_ParkBuffer1000,Prop_BarrenLand_ParkBuffer500,Prop_BarrenLand_ParkBuffer100,PCT_Impervious_Park1000,PCT_Impervious_Park500,PCT_Impervious_Park100,Road_Density_km_ParkBuffer100,Road_Density_km_ParkBuffer500,Road_Density_km_ParkBuffer1000,PCT_TCC_PARK,Predicted_Connectivity_Water,Predicted_cit,Occu_Predicted_TCC,Occu_Predicted_Impervious
2022,Flushing Meadows Park,Flushing Meadows Corona Park,13,40.72217,-73.8306,Queens,206.32,0,0,1,1,1500,0,0,0,0,0.006755113,0.008163291,4.010678902,409.3059862,359.9830109,228.5292366,8.788851738,10.12138588,12.54410256,0.03929831,0.06582135,0.13452991,0.00036642,0.00056534,1.20E-03,70.6502542,65.87756421,54.95538462,9031.775876,7749.63317,209052.565,70.62,0,0.03,0.07,0
2022,Forest Park I,Forest Park,9,40.70383,-73.85069,Queens,197.42,1,0,1,2,1600,0,0,0,0,0.002438492,0.018125918,8.121475807,1163.681846,900.9433166,453.6494887,2.06E+01,30.66568653,55.86831153,0.001485583,0,0,6.75E-05,0.00012784,2.97E-04,59.97643325,50.24303247,25.49108205,5242.022357,7559.57823,72989.8979,49.52,0,0.01,0,0.01
2022,Forest Park II,Forest Park,10,40.70791,-73.83994,Queens,197.42,0,0,0,0,2100,0,0,0,0,0.002438492,0.018125918,8.121475807,1163.681846,900.9433166,453.6494887,2.06E+01,30.66568653,55.86831153,0.001485583,0,0,6.75E-05,0.00012784,2.97E-04,59.97643325,50.24303247,25.49108205,5242.022357,7559.57823,72989.8979,49.52,0,0.01,0,0.01
2022,Fox Hollow Preserve,Fox Hollow Preserve,33,40.84864,-73.48527,Nassau,10.71,0,4,25,29,1500,25,7,3,0,0.999954527,1,263.2529117,56.43245778,43.18741336,47.65925168,68.23542117,71.40401146,80.73954984,0.002159827,0,0,0,0,0,6.24268604,6.318051576,3.421221865,1919.573351,3801.57583,31787.224,89.38,1,1,1,1
2022,Frazer Drive Park,Frazer Drive Park,34,40.8593,-73.37318,Suffolk,8.46,0,1,0,1,1400,0,0,0,0,0.128164025,0.30407042,30.83555418,1125.630941,1414.184018,1347.792289,35.26609867,37.04920914,36.11458333,0.002575788,0,0,0,0,0,29.30156529,28.75278266,24.60763889,14328.01539,16183.3594,329343.83,35.19,0,0.48,0.3,0.84
2022,Froehlich Farm Nature Preserve,Froehlich County Farm,31,40.83893,-73.43496,Suffolk,150.63,52,12,564,628,1500,100,141,62.04,11.28,0.995451257,0.999999999,139.781493,86.70940474,80.25480313,83.43225828,52.11906824,52.93662929,56.12888016,0.008486318,0.00118926,0.00078585,0.00103914,0.00203874,0.00471513,17.67466228,15.43510024,11.27308448,4547.389962,5971.61171,95058.3582,59.41,1,0.99,0.99,0.99
2022,Greenwood Cemetery,The Green-Wood Cemetery,4,40.65255,-73.99581,Brooklyn,189.41,0,0,0,0,1500,0,0,0,0,0.001333759,0.009096225,4.56615214,9670.504067,11684.59247,13518.32646,9.147625723,12.60561967,25.20436364,0.003329245,0,0,0.00394253,0,0,75.08366918,67.44873725,40.90181818,34565.17554,18497.9553,685218.746,32.06,0,0,0,0
2022,Highland Park,Highland Park,8,40.68715,-73.88415,Queens,41.84,0,0,0,0,1080,0,0,0,0,0.102307803,0.176823195,20.61023464,4915.966627,5174.526779,3863.210517,31.42434857,39.03718066,52.26197458,0.008799658,0.02258212,0.09677419,0.00059804,0.00159672,6.84E-03,41.67757369,32.77531934,21.83479961,14104.49754,18741.4561,456688.306,60.9,0.04,0.27,0.23,0.41
2022,Horatio Playground,Alley Pond Park,20,40.759,-73.75442,Queens,268.59,0,0,2,2,1500,3,0,0,0,0.374042215,0.044277852,12.80399833,1756.779112,1558.307353,761.8745454,27.89178781,32.66279505,46.1075784,0.041874593,0.07203072,0.16049652,0,0,0,51.19358863,46.42066317,31.11977352,11695.96398,14702.4349,62829.8179,59.49,0.49,0.07,0.09,0.06
2022,John D. Caemmerer Park / Herricks park,John D. Caemmerer Park,22,40.765149,-73.649437,Nassau,5.67,0,0,0,0,800,0,0,0,0,0.008892887,0.05963995,14.40215596,3470.597227,4191.066922,3356.90558,23.52489065,20.12884615,21.54424779,0.00041658,0,0,0,0,0,56.36804832,62.59935897,58.12831858,20243.36198,21117.8782,205863.019,34.68,0,0.03,0.02,0.02
2022,Kissena Corridor Park,Kissena Corridor Park,18,40.74721,-73.82077,Queens,62.27,0,0,0,0,1700,0,0,0,0,0.002738111,0.00474692,8.126470436,2407.718213,1409.104042,441.0906865,1.98E+01,18.41652573,20.56284153,0.004499438,0.00350326,0,5.36E-05,0.0001208,0.00E+00,58.7644223,60.17262624,54.87680079,18432.92452,16973.5778,157939.242,32.59,0,0,0,0
