Loc_Nm,Site,PCT_TCC_CameraBuffer100,Connect500_ParkBuffer1000,Connect300_ParkBuffer1000,Connect300v1_ParkBuffer1000,PARK_AREA_m,PCT_TCC_PARK,PCT_TCC_PARK_BUFFER1000,PCT_TCC_PARK_BUFFER500,PCT_TCC_PARK_BUFFER100,HU_Density_Km_Park1000,HU_Density_Km_Park500,HU_Density_Km_Park100,Prop_Water_ParkBuffer1000,Prop_Water_ParkBuffer500,Prop_Water_ParkBuffer100,Prop_BarrenLand_ParkBuffer1000,Prop_BarrenLand_ParkBuffer500,Prop_BarrenLand_ParkBuffer100,Road_Density_km_ParkBuffer100,Road_Density_km_ParkBuffer500,Road_Density_km_ParkBuffer1000,PCT_Impervious_Park1000,PCT_Impervious_Park500,PCT_Impervious_Park100,PCT_Human_CameraDays,Human_Visitation_SG
Lincoln Terrace / Arthur S. Somers Park,LtPk,44.55555556,9.4668303,7.892231299,8.98327268,71083.98075,37.20253165,2.391973383,3.14709596,17.84583333,9670.504067,11684.59247,13518.32646,0,0,0,0,0,0,34565.17554,18497.95529,685218.7461,86.4183822,87.62310606,65.425,62.93103448,810.6666667
Meadowbrook Club,MbCb,44.16666667,88.1525658,50.73881823,54.14664501,959183.8415,21.04221388,40.16103896,40.03656388,30.5473427,195.9997131,196.5527768,238.9025539,0.000831169,0.00154185,0,0,0,0,3336.650187,7942.092525,53836.68919,27.58358442,23.20881057,13.17348809,21.15384615,40.66666667
Mafera Park,MfPk,2.125,6.24303454,2.868573965,3.391168789,28793.51119,10.28125,4.828025478,5.57260479,10.69078947,5359.829285,4930.865453,2182.377946,0,0,0,0,0,0,5645.249128,12828.82102,377464.193,76.14080983,76.98952096,68.26315789,97.61904762,669.3333333
Maple Grove Cemetery,MgCt,25.44444444,12.4204328,5.838893426,5.842788566,273538.3563,25.65131579,10.05742862,9.271051529,16.72289157,5771.177195,7328.293658,7739.464362,0.001290531,0,0,0,0,0,64388.37367,29832.3431,667286.7648,71.81497016,70.8797654,49.46815835,3.076923077,120.3333333
Michael J. Tully Park,MtPk,29.54285714,12.6714026,6.386890865,8.342073516,136769.1782,7.927631579,17.26476154,19.47693977,13.02873563,1048.397748,940.4311597,573.1095904,0.013058289,0.037438958,0.097701149,0,0,0,7405.898593,13330.21416,264362.3529,61.88758516,53.42485079,46.06896552,71.15384615,1396.666667
Muttontown County Preserve,MtPs,85.11428571,271.086223,167.2332869,174.378717,2111824.086,77.90924585,60.30287977,65.61160546,73.46405413,117.8812925,96.94420341,60.26632726,0.002148084,0.004010528,0.009021708,0.000134255,0.000250658,0.000281928,4800.371773,6244.757961,25790.59734,10.05866953,8.352801103,4.233154779,5.755395683,348.6666667
North Hills Country Club,NhCc,53.15625,60.7059967,41.12712412,40.81658705,600164.7489,38.55622189,48.9145748,52.87766588,46.12954334,347.7396385,307.5676687,246.7611964,0.000512295,0.000296209,0,0,0,0,8627.385105,10738.08164,74752.79957,27.35924693,24.66735782,15.59645853,2.352941176,757
Old Westbury Golf and  Country Club,OwGc,56.71428571,136.339307,101.3245017,114.6050654,768426.8299,34.26580796,54.42943404,54.37842047,46.19465387,100.1601682,91.04823343,79.85550178,0.00501484,0.000444939,0,0,0,0,2853.132704,5177.939615,38059.90705,13.359738,12.60044494,10.15764222,39.37007874,772
Old Westbury Gardens,OwGd,82.55555556,91.1718832,57.25715717,56.2585682,896198.0358,54.52610442,43.60727309,47.16145181,53.44648318,171.7227114,101.7901301,66.63202532,0.001872475,0.001668753,0.004892966,0,0,0,6055.698521,8162.050671,54200.69711,20.63388194,16.81602003,9.294189602,16.83168317,99.66666667
Prospect Park,PrPk,76.2,11.1571776,9.010979449,8.657407468,1974155.111,49.51959891,20.63393882,30.66568653,55.86831153,8440.477052,7163.054643,2326.814759,0.01268091,0.025059499,0.057731263,0.003721571,0.007419852,0.017893315,9606.314376,16590.38089,77018.52897,63.55796003,55.15805684,26.8298447,50.83333333,13459.66667
Prospect Park,PrPk II,76.26470588,11.1571776,9.010979449,8.657407468,1974155.111,49.51959891,20.63393882,30.66568653,55.86831153,8440.477052,7163.054643,2326.814759,0.01268091,0.025059499,0.057731263,0.003721571,0.007419852,0.017893315,9606.314376,16590.38089,77018.52897,63.55796003,55.15805684,26.8298447,22.6993865,13459.66667
Queens County Farm Park,QcFm,64.77142857,18.0925625,12.62789347,12.84691042,210552.5506,34.52991453,18.45145798,19.237061,27.04115226,1842.694336,2027.629855,1585.662459,0,0,0,0,0,0,4676.412051,12775.89508,159056.7839,56.04202401,58.20009242,38.89300412,3.603603604,786.6666667
SUNY Old Westbury,SnOw,87.25714286,116.611888,72.65924581,74.95425034,421105.1011,85.76923077,46.85583456,55.9193314,76.15889029,84.3901451,54.58444879,8.357979469,0.002067947,0.005087209,0,0,0,0,5105.931055,4154.58137,33566.13306,13.40827179,13.13735465,9.447667087,4.761904762,2425
Stillwell Woods County Park,SwPk 1,90.2,225.6441,125.674676,120.6203692,1317303.137,66.04439891,58.99054661,59.72505712,66.13801337,163.3122789,124.8438824,95.00172536,0.007862224,0,0,0,0,0,1735.294024,4430.519601,27041.18758,14.25093598,13.44592536,4.915472779,17.91044776,1257.333333
Stillwell Woods County Park,SwPk 2,28.85714286,225.6441,125.674676,120.6203692,1317303.137,66.04439891,58.99054661,59.72505712,66.13801337,163.3122789,124.8438824,95.00172536,0.007862224,0,0,0,0,0,1735.294024,4430.519601,27041.18758,14.25093598,13.44592536,4.915472779,37.98449612,1257.333333
Todt Hill,ToHl,54.85714286,60.199132,49.91850417,52.90815265,431002.8706,86.75991649,47.94327605,52.19668911,69.89208633,685.9823562,466.3036188,291.3309289,0.015863478,0.024410774,0.014388489,0.000240356,0,0,3001.488777,5926.600971,72228.78768,27.00048071,18.83754209,7.271325797,0.46728972,NA
Trail View State Park,TvPk,62.63636364,164.693525,101.8734423,110.776477,1959758.355,80.28282828,47.96824816,50.77916201,63.51090404,315.4284438,325.2283574,319.672374,0.00938538,0.016219075,0.021213323,0.00015236,0,0,6084.688541,7509.272911,50557.65727,27.38364262,25.79250162,16.68378271,49.66887417,1427.666667
Westbury Equestrian Center,WbEc,86.74285714,123.514811,79.80478942,83.57644361,224049.5089,57.56626506,44.33713059,38.94284468,49.65290807,61.81205259,60.57880044,61.11633697,0.004622751,0.006980803,0,0,0,0,8099.977781,7249.012951,67709.27277,11.76258874,11.92321117,8.60412758,5.357142857,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
